City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (°C),Wind Speed (km-h)
Mataura,91,NZ,1588641815,85,-46.19,168.86,6.69,15.4
Ushuaia,5,AR,1588641657,56,-54.8,-68.3,7.0,40.7
Dombarovskiy,0,RU,1588641816,48,50.76,59.54,9.05,9.6
Talnakh,1,RU,1588641816,85,69.49,88.4,-11.0,36.0
Hong Kong,40,HK,1588641805,70,22.29,114.16,29.0,18.4
Tuatapere,74,NZ,1588641817,76,-46.13,167.68,7.37,22.4
Hithadhoo,100,MV,1588641665,75,-0.6,73.08,29.13,23.9
Touros,40,BR,1588641819,100,-5.2,-35.46,24.0,5.4
Jiaojiang,100,CN,1588641819,80,28.68,121.44,22.22,9.1
Torbay,75,CA,1588641820,86,47.67,-52.73,2.22,5.4
Ambon City,20,ID,1588641820,74,-3.7,128.18,30.0,5.4
Vardø,75,NO,1588641821,81,70.37,31.11,2.0,31.3
Te Anau,88,NZ,1588641745,76,-45.42,167.72,6.04,9.6
Alofi,20,NU,1588641822,74,-19.06,-169.92,29.0,9.4
Butaritari,100,KI,1588641823,82,3.07,172.79,28.37,23.5
Blackfoot,20,US,1588641823,19,43.19,-112.34,16.0,25.9
Pedasí,72,PA,1588641824,78,7.53,-80.03,28.57,21.7
Saskylakh,98,RU,1588641825,93,71.92,114.08,-14.07,21.0
Busselton,65,AU,1588641826,67,-33.65,115.33,17.22,34.7
Dikson,73,RU,1588641826,86,73.51,80.55,-13.72,8.8
Rikitea,100,PF,1588641827,73,-23.12,-134.97,23.02,24.5
Coldwater,1,US,1588641827,57,41.94,-85.0,12.22,9.4
Khatanga,9,RU,1588641828,92,71.97,102.5,-15.28,24.4
East London,0,ZA,1588641830,74,-33.02,27.91,17.41,8.5
Hobart,40,AU,1588641635,66,-42.88,147.33,14.44,16.6
Kidal,26,ML,1588641831,27,18.44,1.41,29.13,14.3
Chokurdakh,100,RU,1588641831,97,70.63,147.92,-5.49,6.1
Vestmannaeyjar,77,IS,1588641832,83,63.44,-20.27,7.62,42.4
Jamestown,75,US,1588641832,80,42.1,-79.24,5.56,29.5
Rio Grande,100,BR,1588641649,94,-32.03,-52.1,16.67,5.5
Esperance,75,AU,1588641834,82,-33.87,121.9,19.0,11.2
Vaini,40,TO,1588641834,70,-21.2,-175.2,29.0,11.2
Hilo,90,US,1588641553,54,19.73,-155.09,28.0,16.6
Barrow,90,US,1588641836,85,71.29,-156.79,-9.0,22.3
Batagay,4,RU,1588641836,88,67.63,134.63,-1.78,1.6
Makkah al Mukarramah,1,SA,1588641837,26,21.43,39.83,24.99,4.8
Jumla,99,NP,1588641837,30,29.27,82.18,10.56,5.9
Pho Chai,39,TH,1588641838,74,16.33,103.77,31.0,7.6
Gunjur,73,GM,1588641839,88,13.2,-16.73,22.0,9.4
Tiksi,100,RU,1588641839,96,71.69,128.87,-5.85,13.6
Albany,3,US,1588641840,52,42.6,-73.97,8.89,16.5
Husavik,4,IS,1588641840,45,66.04,-17.34,9.0,107.3
Bambous Virieux,20,MU,1588641841,83,-20.34,57.76,23.0,9.4
St. George's,20,GD,1588641842,78,12.06,-61.75,28.0,18.4
Cabo San Lucas,5,MX,1588641842,39,22.89,-109.91,32.0,16.6
Codrington,0,AU,1588641843,66,-38.27,141.97,15.12,19.2
Caravelas,5,BR,1588641843,78,-17.71,-39.25,22.16,8.2
Hay River,40,CA,1588641844,69,60.82,-115.8,2.0,16.6
Nikolskoye,100,RU,1588641844,93,59.7,30.79,3.0,3.6
Hermanus,0,ZA,1588641845,83,-34.42,19.23,14.96,10.3
Ponta do Sol,75,PT,1588641846,72,32.67,-17.1,18.0,14.8
Tasiilaq,0,GL,1588641846,44,65.61,-37.64,3.0,22.3
Moerai,95,PF,1588641847,80,-22.43,-151.33,25.97,20.6
Cape Town,0,ZA,1588641215,93,-33.93,18.42,14.44,3.6
Punta Arenas,0,CL,1588641848,77,-53.15,-70.92,2.0,16.6
Mar del Plata,90,AR,1588641849,82,-38.0,-57.56,15.0,11.2
Iquique,100,CL,1588641653,72,-20.22,-70.14,18.0,16.6
Mount Gambier,0,AU,1588641851,71,-37.83,140.77,14.0,24.1
Yenagoa,10,NG,1588641721,92,4.92,6.26,25.87,3.5
Taksimo,0,RU,1588641853,44,56.34,114.88,7.98,3.8
Chui,100,UY,1588641686,93,-33.7,-53.46,14.58,4.3
Talara,60,PE,1588641854,79,-4.58,-81.27,22.02,20.9
Kapaa,75,US,1588641856,69,22.08,-159.32,27.0,29.5
Ubari,0,LY,1588641857,21,26.59,12.78,21.38,10.3
Tazmalt,0,DZ,1588641857,60,36.39,4.4,21.0,9.4
Castro,0,BR,1588641858,54,-24.79,-50.01,11.55,4.0
Mahébourg,20,MU,1588641858,83,-20.41,57.7,23.0,9.4
Kiryat Gat,0,IL,1588641859,63,31.61,34.76,18.0,7.6
Puerto Ayora,75,EC,1588641860,78,-0.74,-90.35,27.0,22.3
Klaksvík,98,FO,1588641860,81,62.23,-6.59,7.0,27.7
Port Elizabeth,0,ZA,1588641861,87,-33.92,25.57,14.0,11.2
Cam Ranh,0,VN,1588641719,70,11.92,109.16,32.0,0.6
Yar-Sale,100,RU,1588641862,93,66.83,70.83,-8.43,14.8
Lompoc,1,US,1588641863,63,34.64,-120.46,19.44,27.7
Leshukonskoye,8,RU,1588641864,94,64.9,45.76,1.49,6.9
Ribeira Grande,34,PT,1588641864,78,38.52,-28.7,16.08,36.4
Ostrovnoy,100,RU,1588641865,93,68.05,39.51,1.81,20.4
Dul'durga,0,RU,1588641866,31,50.68,113.59,11.25,10.4
Kāzerūn,98,IR,1588641866,22,29.62,51.65,20.74,3.8
Thompson,75,CA,1588641868,39,55.74,-97.86,9.0,5.4
Bredasdorp,0,ZA,1588641868,87,-34.53,20.04,13.0,9.4
Nyurba,100,RU,1588641869,54,63.28,118.33,6.87,11.5
Bluff,79,NZ,1588641869,68,-46.6,168.33,7.83,31.5
Charyshskoye,99,RU,1588641870,68,51.4,83.56,3.7,10.4
Hernani,100,ES,1588641870,77,43.27,-1.98,17.0,11.2
Qaanaaq,99,GL,1588641871,93,77.48,-69.36,-8.56,4.6
Hervey Bay,8,AU,1588641872,68,-25.3,152.85,22.22,17.7
Imeni Poliny Osipenko,0,RU,1588641873,50,52.42,136.49,7.77,14.3
Melo,100,UY,1588641874,93,-32.37,-54.18,13.73,4.3
Alyangula,100,AU,1588641875,42,-13.85,136.42,30.0,18.4
Safi,12,MA,1588641875,84,32.3,-9.24,18.25,14.3
Saint-François,100,FR,1588641876,72,46.42,3.91,16.0,9.4
Paldiski,75,EE,1588641877,100,59.36,24.05,5.0,5.4
Hambantota,75,LK,1588641877,100,6.12,81.12,25.0,1.8
Palaia Fokaia,0,GR,1588641878,76,37.72,23.95,16.11,7.6
Tutóia,100,BR,1588641878,87,-2.76,-42.27,26.05,14.2
Amalner,0,IN,1588641879,59,21.05,75.07,27.02,14.0
Yarkovo,0,RU,1588641880,70,57.4,67.08,4.07,8.1
Lavrentiya,0,RU,1588641880,90,65.58,-171.0,0.41,8.1
Lorengau,96,PG,1588641881,79,-2.02,147.27,28.87,4.5
Pekalongan,3,ID,1588641881,72,-6.89,109.68,28.79,7.1
Sterling,1,US,1588641715,44,39.01,-77.43,15.0,9.4
Port Alfred,0,ZA,1588641883,90,-33.59,26.89,14.44,18.5
Fortuna,20,US,1588641883,58,40.6,-124.16,18.33,18.4
Sharjah city,0,AE,1588641741,83,25.36,55.4,27.78,7.6
Bagan,0,RU,1588641884,72,54.1,77.66,3.24,18.6
Saint-Joseph,25,RE,1588641885,78,-21.37,55.62,23.0,11.2
Atuona,1,PF,1588641885,71,-9.8,-139.03,27.84,24.8
Muros,28,ES,1588641886,78,42.78,-9.06,15.56,24.2
Saint-Philippe,44,RE,1588641887,78,-21.36,55.77,24.0,11.2
Zambezi,0,ZM,1588641887,53,-13.54,23.1,16.86,8.2
Lima,100,PE,1588641740,77,-12.04,-77.03,21.0,14.8
Carnarvon,75,AU,1588641888,88,-24.87,113.63,25.0,7.6
Hasaki,75,JP,1588641889,69,35.73,140.83,26.11,5.4
Port Pirie,0,AU,1588641890,39,-33.18,138.02,18.0,16.6
Tilichiki,100,RU,1588641890,95,60.47,166.1,-2.23,11.1
Longjiang,0,CN,1588641891,45,47.33,123.18,11.94,18.2
Tuktoyaktuk,20,CA,1588641891,78,69.45,-133.04,-8.0,25.9
Lavumisa,0,SZ,1588641892,100,-27.31,31.89,17.0,2.7
Tucuruí,32,BR,1588641700,91,-3.77,-49.67,24.45,3.9
Pangai,75,TO,1588641895,69,-19.8,-174.35,28.0,9.4
Arona,75,ES,1588641895,68,28.1,-16.68,20.56,14.8
Provideniya,0,RU,1588641896,62,64.38,-173.3,3.75,0.1
Pitimbu,20,BR,1588641897,88,-7.47,-34.81,26.0,9.4
Atar,0,MR,1588641898,13,20.52,-13.05,28.72,11.4
George Town,20,MY,1588641601,94,5.41,100.34,28.0,5.4
Clyde River,1,CA,1588641900,77,70.47,-68.59,-15.0,11.2
Gali,100,GE,1588641900,67,42.63,41.74,14.88,5.6
Cayenne,100,GF,1588641901,100,4.93,-52.33,24.0,3.6
Roebourne,0,AU,1588641902,35,-20.78,117.13,25.92,16.3
Berdigestyakh,0,RU,1588641902,61,62.1,126.7,4.3,9.0
Kyra,0,RU,1588641904,28,49.58,111.98,11.29,8.1
Valkeala,92,FI,1588641905,100,60.94,26.8,3.0,7.6
Arlit,25,NE,1588641655,11,18.74,7.39,29.87,9.2
Faya,40,SA,1588641907,87,18.39,42.45,18.0,15.1
Lengshuitan,0,CN,1588641908,63,26.41,111.6,30.14,16.7
Isangel,90,VU,1588641909,88,-19.55,169.27,27.0,5.4
Estación Coahuila,5,MX,1588641910,8,32.19,-115.0,37.0,13.0
New Norfolk,59,AU,1588641767,81,-42.78,147.06,13.33,4.9
Stillwater,1,US,1588641744,57,36.12,-97.06,26.0,20.5
Saint George,1,US,1588641912,8,37.1,-113.58,28.33,16.6
Kaitangata,89,NZ,1588641912,73,-46.28,169.85,7.22,27.4
Metro,100,ID,1588641913,85,-5.11,105.31,26.6,3.3
Ancud,2,CL,1588641914,100,-41.87,-73.82,8.89,3.6
Marabu,75,MY,1588641915,94,4.41,114.01,27.0,7.6
Wattegama,75,LK,1588641915,100,6.8,81.48,25.0,1.8
Nouadhibou,0,MR,1588641866,88,20.93,-17.03,19.0,31.3
Kahului,40,US,1588641685,48,20.89,-156.47,29.0,37.1
Maniitsoq,84,GL,1588641917,90,65.42,-52.9,-3.25,18.4
Port Hedland,0,AU,1588641918,20,-20.32,118.57,28.0,25.9
Saldanha,0,ZA,1588641919,87,-33.01,17.94,12.0,5.4
Akhmīm,0,EG,1588641919,28,26.56,31.75,21.91,11.5
Coria,98,ES,1588641920,86,39.99,-6.54,12.22,3.2
Dukat,99,RU,1588641921,86,62.55,155.55,-4.68,6.0
Grand Forks,90,US,1588641922,93,47.93,-97.03,7.0,9.4
Poronaysk,23,RU,1588641922,75,49.22,143.12,4.74,19.0
North Bend,90,US,1588641923,62,43.41,-124.22,15.56,16.6
Fort Frances,1,CA,1588641924,37,48.6,-93.4,11.0,11.2
Avarua,0,CK,1588641924,78,-21.21,-159.78,27.0,9.4
Gold Coast,75,AU,1588641925,60,-28.0,153.43,22.22,31.3
Los Llanos de Aridane,100,ES,1588641926,63,28.66,-17.92,19.0,9.4
Nanortalik,100,GL,1588641927,86,60.14,-45.24,2.05,4.3
Saint-Pierre,9,RE,1588641928,78,-21.34,55.48,23.0,11.2
Flinders,75,AU,1588641928,59,-34.58,150.86,18.89,5.4
College,75,US,1588641929,29,64.86,-147.8,15.0,13.0
Kulunda,0,RU,1588641930,64,52.57,78.94,4.84,18.1
Nova Russas,100,BR,1588641930,86,-4.71,-40.56,23.03,5.0
Henties Bay,0,NA,1588641931,61,-22.12,14.28,17.91,11.7
Cidreira,100,BR,1588641932,74,-30.18,-50.21,19.4,12.9
Arrondissement de Lannion,90,FR,1588641933,93,48.75,-3.42,14.0,16.6
Bandarbeyla,100,SO,1588641934,74,9.49,50.81,27.89,5.5
Bengkulu,91,ID,1588641935,78,-3.8,102.27,26.87,6.5
Tacuarembó,100,UY,1588641935,93,-31.73,-55.98,14.35,6.4
Saint Paul Harbor,90,US,1588641936,87,57.79,-152.41,8.0,16.6
Kieta,90,PG,1588641937,65,-6.22,155.63,29.34,7.3
Nara,40,JP,1588641938,53,34.69,135.8,23.89,11.2
Portland,90,US,1588641937,51,45.52,-122.68,16.11,20.5
São Filipe,0,CV,1588641939,72,14.9,-24.5,24.12,18.0
Neiafu,20,TO,1588641941,70,-18.65,-173.98,29.0,14.8
Airai,100,TL,1588641942,57,-8.93,125.41,20.38,6.4
Port Lincoln,70,AU,1588641942,42,-34.73,135.87,17.43,24.7
Mullovka,74,RU,1588641943,50,54.2,49.4,13.0,10.8
Egvekinot,0,RU,1588641944,87,66.32,-179.17,-1.54,5.2
Bondo,64,CD,1588641944,81,3.81,23.69,21.8,0.8
Pacific Grove,1,US,1588641866,37,36.62,-121.92,20.56,11.2
Dauphin,100,CA,1588641946,53,51.15,-100.05,9.05,11.8
Angoram,100,PG,1588641784,95,-4.06,144.07,25.29,3.1
Socorro,5,US,1588641947,7,31.65,-106.3,33.0,16.6
Beşikdüzü,75,TR,1588641948,87,41.05,39.23,15.0,14.8
Aklavik,20,CA,1588641948,44,68.22,-135.01,3.0,16.6
Arraial do Cabo,23,BR,1588641886,69,-22.97,-42.03,22.52,15.2
Lamar,1,US,1588641950,74,33.67,-95.58,26.67,9.4
Bilibino,0,RU,1588641828,86,68.05,166.44,-5.06,2.5
Kavieng,90,PG,1588641951,77,-2.57,150.8,29.29,17.1
Basco,18,PH,1588641952,86,20.45,121.97,28.37,26.9
Azare,28,NG,1588641953,61,11.68,10.19,26.07,12.6
Faanui,0,PF,1588641953,75,-16.48,-151.75,27.97,16.7
Severo-Kuril'sk,100,RU,1588641954,92,50.68,156.12,3.14,41.5
Lebanon,90,US,1588641956,46,36.21,-86.29,22.0,7.6
Viedma,100,AR,1588641957,78,-40.81,-63.0,10.76,17.0
Khani,75,GE,1588641957,77,41.96,42.96,16.0,14.8
Chilca,100,PE,1588641958,77,-12.52,-76.74,21.0,14.8
Port Blair,100,IN,1588641959,71,11.67,92.75,29.49,9.3
Aripuanã,100,BR,1588641960,83,-9.17,-60.63,24.84,1.8
Lüderitz,0,NA,1588641960,44,-26.65,15.16,19.19,23.8
Haines Junction,6,CA,1588641961,46,60.75,-137.51,8.14,8.6
Lipin Bor,41,RU,1588641963,86,60.26,37.98,5.67,8.1
Verkhnetulomskiy,75,RU,1588641964,100,68.61,31.8,1.0,10.8
Progreso,20,MX,1588641965,58,21.28,-89.67,31.0,18.4
Borovoy,90,RU,1588641966,100,55.43,86.08,2.0,21.6
Torrington,0,US,1588641967,71,41.8,-73.12,8.89,12.9
Bethel,75,US,1588641968,53,41.37,-73.41,10.0,20.5
Tura,0,IN,1588641969,65,25.52,90.22,25.13,7.0
Bolivar,90,US,1588641867,88,37.61,-93.41,17.0,24.1
Leninskoye,95,RU,1588641970,42,47.94,132.62,11.82,7.0
Portree,64,GB,1588641971,74,57.41,-6.19,4.44,1.6
Moree,0,AU,1588641972,35,-29.47,149.85,21.0,8.7
Brae,97,GB,1588641973,75,60.4,-1.35,6.0,20.5
Adrar,0,MR,1588641974,11,20.5,-10.07,31.17,15.0
Río Gallegos,0,AR,1588641974,93,-51.62,-69.22,3.0,16.6
Coquimbo,79,CL,1588641975,93,-29.95,-71.34,13.0,11.2
Tegul'det,100,RU,1588641976,90,57.31,88.17,3.04,22.5
Kavarna,18,BG,1588641976,76,43.43,28.33,14.0,14.8
Chu,100,KZ,1588641977,45,43.6,73.76,13.86,12.8
Łańcut,2,PL,1588641978,93,50.07,22.23,6.11,5.4
Buraidah,20,SA,1588641978,42,26.33,43.98,27.0,24.1
Mogadishu,100,SO,1588641979,80,2.04,45.34,28.06,17.4
Aklera,8,IN,1588641980,40,24.42,76.57,28.93,11.8
Verāval,0,IN,1588641981,85,20.9,70.37,27.04,18.1
São Félix do Xingu,86,BR,1588641982,88,-6.64,-51.99,23.11,2.7
Pozo Colorado,5,PY,1588641983,48,-23.49,-58.8,25.72,5.6
Pisco,100,PE,1588641983,82,-13.7,-76.22,19.0,20.5
Biskamzha,100,RU,1588641984,65,53.45,89.53,1.75,24.3
Westport,1,US,1588641985,50,41.14,-73.36,12.0,18.4
Capim Grosso,60,BR,1588641986,84,-11.38,-40.01,20.91,14.4
Kumul,100,CN,1588641988,21,42.8,93.45,22.1,15.8
Souillac,20,MU,1588641989,83,-20.52,57.52,23.0,9.4
Along,11,IN,1588641990,70,28.17,94.77,21.52,0.9
Tirumullaivāsal,1,IN,1588641990,77,11.23,79.83,27.9,4.3
Mayo,1,US,1588641991,39,38.89,-76.51,17.0,18.4
Sanjwal,20,PK,1588641992,93,33.76,72.43,18.89,11.2
Saint-Ambroise,100,CA,1588641992,84,48.55,-71.33,5.0,9.6
Ilulissat,96,GL,1588641993,67,69.22,-51.1,-6.0,14.8
Iqaluit,75,CA,1588641994,61,63.75,-68.51,-9.0,7.6
Kimberley,0,ZA,1588641995,87,-28.73,24.76,6.0,3.6
Saint Anthony,1,US,1588641996,41,45.02,-93.22,14.44,7.6
Rosetown,84,CA,1588641997,43,51.55,-108.0,12.22,11.3
Pochutla,85,MX,1588641998,53,15.74,-96.47,29.3,10.4
Orange,1,US,1588641967,44,33.7,-117.77,26.0,13.0
Khandyga,13,RU,1588641999,74,62.67,135.6,2.72,4.9
Tezu,4,IN,1588642000,56,27.92,96.17,25.48,1.2
Biltine,100,TD,1588642000,12,14.53,20.92,28.81,14.7
Bamora,0,IN,1588642001,38,24.06,78.09,28.3,18.0
Yellowknife,20,CA,1588641918,48,62.46,-114.35,4.0,14.8
Shushenskoye,0,RU,1588642003,45,53.33,91.94,7.0,32.4
Nóvita,100,CO,1588642003,89,4.96,-76.61,24.76,2.6
Pevek,80,RU,1588642004,95,69.7,170.31,-7.4,6.8
Pokaran,0,IN,1588642004,42,26.92,71.92,27.14,15.5
Mandera,85,KE,1588642005,64,3.94,41.87,27.06,16.6
Guangyuan,35,CN,1588641959,43,32.44,105.82,26.2,7.2
Bilma,0,NE,1588642006,13,18.69,12.92,27.18,23.8
Nakhon Thai,71,TH,1588641965,83,17.1,100.84,30.0,1.8
Esim,37,GH,1588642008,86,4.87,-2.24,27.01,8.2
Chicama,87,PE,1588642008,73,-7.84,-79.15,21.67,8.4
São João da Barra,36,BR,1588642010,74,-21.64,-41.05,21.45,6.4
Kruisfontein,0,ZA,1588642010,66,-34.0,24.73,14.18,13.2
Santa Maria,90,BR,1588642011,93,-29.68,-53.81,16.0,5.4
Chingirlau,0,KZ,1588642012,51,51.09,54.08,10.26,15.5
Minden,15,DE,1588642013,80,52.28,8.92,4.0,3.6
Katsuura,75,JP,1588642013,100,35.13,140.3,26.11,7.6
Olafsvik,88,IS,1588642014,80,64.89,-23.71,6.12,36.6
Ayagoz,0,KZ,1588642014,49,47.97,80.44,5.92,23.7
Sisophon,4,KH,1588642015,65,13.59,102.97,30.41,11.9
Chiredzi,44,ZW,1588642016,71,-21.05,31.67,17.22,8.7
Irecê,20,BR,1588641894,70,-11.3,-41.86,21.24,19.1
Guamúchil,0,MX,1588642018,15,25.47,-108.1,32.98,13.9
Praia da Vitória,20,PT,1588642019,82,38.73,-27.07,15.0,24.7
Tubmanburg,100,LR,1588642019,92,6.87,-10.82,24.49,2.7
Malindi,100,KE,1588642020,86,-3.22,40.12,26.2,20.3
Hīt,90,IQ,1588642021,30,33.64,42.83,25.29,9.9
Folsom,5,US,1588641912,8,38.68,-121.18,29.0,14.8
Mirny,100,RU,1588642022,29,62.54,113.96,10.0,10.8
Nizhniye Sergi,0,RU,1588642023,64,56.66,59.3,5.48,5.9
Filingué,62,NE,1588642024,29,14.35,3.32,31.26,13.4
Poya,100,NC,1588642024,84,-21.35,165.15,22.63,15.4
Pareora,0,NZ,1588642025,37,-44.49,171.21,12.22,19.3
