City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (°C),Wind Speed (km-h)
Dunmore East,100,IE,1588642026,81,52.15,-6.99,11.67,1.6
Paita,54,PE,1588642027,76,-5.09,-81.11,22.02,22.7
Berlevåg,80,NO,1588642029,80,70.86,29.09,2.94,31.2
Lagoa,90,PT,1588642029,80,39.05,-27.98,15.87,40.0
Grindavik,90,IS,1588642030,87,63.84,-22.43,6.0,44.3
Esperantinópolis,60,BR,1588642031,93,-4.87,-44.71,24.33,0.9
Wagar,23,SD,1588641904,14,16.15,36.2,27.05,15.4
Kapit,93,MY,1588642032,83,2.02,112.93,27.68,2.2
Dingle,75,PH,1588642033,64,11.0,122.67,31.1,8.8
San Jerónimo,99,PE,1588642034,30,-11.95,-75.28,9.86,5.3
Alugan,98,PH,1588642034,75,12.22,125.48,29.36,15.1
Verkhoyansk,0,RU,1588642035,88,67.54,133.38,-2.4,4.3
Zvishavane,6,ZW,1588642036,59,-20.33,30.07,13.91,7.6
Susanino,100,RU,1588642037,92,58.15,41.59,11.87,8.7
Okato,100,NZ,1588642037,74,-39.2,173.88,11.11,19.3
Raja,100,SS,1588642038,69,8.46,25.68,23.0,6.4
Labuan,75,MY,1588642039,94,5.28,115.24,28.0,1.8
Mareeba,31,AU,1588642039,54,-17.0,145.43,27.0,22.3
Vysokogornyy,100,RU,1588642040,49,50.12,139.15,4.81,10.9
Pangody,93,RU,1588642041,95,65.85,74.49,-9.91,3.6
Moshupa,0,BW,1588642041,67,-24.78,25.42,15.0,1.8
Amapá,100,BR,1588642042,95,1.0,-52.0,23.43,4.1
Lata,100,PT,1588642043,87,40.16,-8.33,15.56,1.6
La Ronge,20,CA,1588642043,35,55.1,-105.28,14.0,9.4
Outlook,91,CA,1588642045,43,51.5,-107.05,12.22,11.3
Port-Cartier,90,CA,1588642046,93,50.03,-66.87,2.78,3.6
Riyadh,0,SA,1588642047,19,24.69,46.72,26.0,9.4
Kassala,78,SD,1588642047,14,15.45,36.4,26.74,10.8
Richards Bay,97,ZA,1588642048,90,-28.78,32.04,18.47,8.0
Bend,1,US,1588642049,23,44.06,-121.32,18.0,9.4
Huarmey,51,PE,1588642049,82,-10.07,-78.15,20.33,16.3
Trelew,88,AR,1588641823,64,-43.25,-65.31,10.24,26.8
Auki,23,SB,1588642051,59,-8.77,160.7,31.4,4.6
Jaciara,91,BR,1588642051,65,-15.97,-54.97,21.07,2.7
Kampot,20,KH,1588642052,74,10.62,104.18,31.0,3.6
San Antonio,1,US,1588641900,48,29.42,-98.49,33.0,27.7
Ahipara,6,NZ,1588642053,72,-35.17,173.17,16.28,28.7
Altusried,100,DE,1588642053,77,47.8,10.22,11.11,5.0
Baijiantan,100,CN,1588642054,45,45.63,85.18,17.04,23.5
Bathsheba,40,BB,1588642055,74,13.22,-59.52,27.0,31.3
Olenegorsk,100,RU,1588642055,91,68.15,33.3,1.09,12.7
Bada,96,RU,1588642056,27,51.39,109.87,12.74,7.3
Kavaratti,90,IN,1588642056,80,10.57,72.64,29.83,19.8
Santa Cruz de la Sierra,75,BO,1588642032,88,-17.8,-63.17,25.0,11.2
Oconomowoc,1,US,1588642057,56,43.11,-88.5,6.0,13.0
Lensk,97,RU,1588642058,43,60.73,114.93,10.57,6.5
Taoudenni,0,ML,1588642059,10,22.68,-3.98,32.57,5.5
Hofn,100,IS,1588642059,76,64.25,-15.21,7.12,22.5
Tautira,33,PF,1588642060,62,-17.73,-149.15,32.0,3.6
Atagay,100,RU,1588642060,57,55.1,99.39,11.17,19.0
Lebu,70,CL,1588642061,89,-37.62,-73.65,13.79,13.5
Port-Gentil,100,GA,1588642062,83,-0.72,8.78,27.24,21.7
Norman Wells,75,CA,1588642062,60,65.28,-126.83,4.0,25.9
Taunggyi,0,MM,1588642063,45,20.78,97.03,22.14,3.3
Puerto Escondido,12,MX,1588642063,66,15.85,-97.07,28.56,11.4
Palembang,40,ID,1588641940,94,-2.92,104.75,24.0,7.6
Gorontalo,71,ID,1588642064,66,0.54,123.06,30.59,5.3
Leningradskiy,0,RU,1588642065,89,69.38,178.42,-4.69,5.9
Solnechnyy,55,RU,1588642066,47,50.72,136.63,6.78,12.5
Sambava,0,MG,1588642066,73,-14.27,50.17,22.89,9.9
Bambanglipuro,50,ID,1588642067,74,-7.95,110.28,28.05,5.7
Ulaangom,0,MN,1588642068,31,49.98,92.07,9.82,24.1
Naro Moru,100,KE,1588642068,55,-0.17,37.02,14.94,17.5
Bahía de Caráquez,40,EC,1588642069,78,-0.6,-80.42,27.0,11.2
Etchoropo,0,MX,1588642069,32,26.77,-109.67,29.48,19.5
Bosaso,100,SO,1588642070,62,11.28,49.18,30.69,15.3
Ottumwa,90,US,1588642071,76,41.02,-92.41,11.11,16.6
Katobu,89,ID,1588642072,86,-4.94,122.53,26.93,11.6
Verkhnevilyuysk,63,RU,1588642073,52,63.45,120.32,7.18,8.4
Dongsheng,80,CN,1588642073,24,39.82,109.98,16.95,10.0
Vostok,99,RU,1588642074,42,46.49,135.88,7.69,12.7
Carutapera,71,BR,1588642075,92,-1.2,-46.02,25.04,6.7
Gizo Government Station,11,SB,1588642076,70,-8.1,156.84,29.49,13.5
Port Macquarie,50,AU,1588642077,67,-31.43,152.92,21.11,6.4
Barra de Tecoanapa,0,MX,1588642078,71,16.52,-98.75,27.06,11.8
Easley,40,US,1588642079,73,34.83,-82.6,24.0,13.0
Salalah,20,OM,1588642079,88,17.02,54.09,28.0,7.6
Port Saint Lucie,1,US,1588642075,69,27.29,-80.35,24.44,9.4
Bayan,0,CN,1588642081,56,46.08,127.4,11.65,12.5
Mana,100,GF,1588642081,86,5.66,-53.78,26.04,18.1
Zhigansk,98,RU,1588642082,93,66.77,123.37,0.26,17.2
Manta,40,EC,1588642083,78,-0.95,-80.73,27.0,11.2
Anadyr,40,RU,1588642084,79,64.75,177.48,-5.0,18.0
Nānākuli,1,US,1588642084,50,21.39,-158.15,29.0,16.6
Vágur,90,FO,1588642086,75,61.47,-6.81,7.59,34.8
Nago,75,JP,1588642087,88,26.59,127.98,27.0,14.8
Wawa,47,NG,1588642087,60,9.9,4.42,27.82,14.1
Roald,100,NO,1588642088,71,62.58,6.13,5.0,11.2
Skibbereen,100,IE,1588642089,71,51.55,-9.27,11.0,38.9
Tsimmerbude,100,RU,1588642090,93,54.67,20.13,6.0,10.8
Port Augusta,0,AU,1588642090,39,-32.5,137.77,18.0,16.6
Cherskiy,100,RU,1588642091,95,68.75,161.3,-1.85,5.6
Samarai,100,PG,1588642093,85,-10.62,150.67,26.77,30.1
Kununurra,97,AU,1588642093,21,-15.77,128.73,27.0,22.3
Novy Urengoy,0,RU,1588642094,93,66.08,76.63,-11.44,8.7
Oranjemund,0,NA,1588642094,76,-28.55,16.43,14.43,16.7
Otradnoye,98,RU,1588642095,93,59.78,30.82,3.0,3.6
Bucak,75,TR,1588642096,93,37.46,30.59,14.0,7.6
Constitución,100,CL,1588642096,84,-35.33,-72.42,14.48,10.5
Saint-Raymond,75,CA,1588642098,45,45.47,-73.61,8.89,22.3
Morristown,1,US,1588642098,56,36.21,-83.29,20.0,3.1
Port Moresby,75,PG,1588642099,83,-9.44,147.18,28.0,27.7
Caucaia,100,BR,1588641941,88,-3.74,-38.65,25.0,7.6
Dunedin,100,NZ,1588642100,82,-45.87,170.5,8.33,4.8
Omsukchan,99,RU,1588642101,87,62.53,155.8,-3.41,5.2
Shimoda,20,JP,1588642101,78,34.67,138.95,23.33,7.6
Nova Olinda do Norte,61,BR,1588642102,91,-3.89,-59.09,24.61,1.4
Takhtamygda,0,RU,1588642103,33,54.1,123.57,11.5,5.5
Meulaboh,100,ID,1588642103,82,4.14,96.13,25.87,7.1
Darhan,100,MN,1588642104,36,49.49,105.92,14.61,7.1
Great Falls,1,US,1588642105,16,47.5,-111.3,13.33,29.5
Eugene,90,US,1588641837,34,44.05,-123.09,19.0,7.6
Broome,40,US,1588642106,73,42.25,-75.83,6.11,11.2
Asău,94,RO,1588642107,89,46.43,26.4,8.89,5.9
Bud,100,US,1588642107,61,39.45,-86.18,16.11,12.1
Muskegon,75,US,1588642108,57,43.3,-86.13,9.44,11.2
Buena Vista,1,US,1588642108,52,43.42,-83.9,7.78,16.6
De-Kastri,100,RU,1588642109,65,51.47,140.78,5.03,15.6
Chernyshevskiy,100,RU,1588642110,61,63.01,112.47,5.9,10.6
Ixtapa,75,MX,1588642110,69,20.7,-105.2,27.0,11.2
Yulara,0,AU,1588642111,23,-25.24,130.99,18.0,24.1
Grand Gaube,2,MU,1588642111,83,-20.01,57.66,22.22,8.1
Dubbo,0,AU,1588641815,63,-32.25,148.62,17.0,16.6
Chesma,0,RU,1588642113,53,53.81,60.65,8.32,9.6
Guymon,1,US,1588642113,27,36.68,-101.48,25.0,31.3
Zhezkazgan,77,KZ,1588642114,49,47.8,67.71,7.22,22.6
Río Bueno,0,CL,1588642114,100,-40.32,-72.97,6.0,2.3
Kaspiysk,40,RU,1588642115,93,42.88,47.64,11.0,7.2
Poum,100,NC,1588642115,81,-20.23,164.02,24.6,20.7
Dzhebariki-Khaya,88,RU,1588642117,76,62.22,135.8,2.67,4.1
Upernavik,100,GL,1588642117,94,72.79,-56.15,-5.55,27.6
Ekibastuz,0,KZ,1588642118,63,51.67,75.37,4.96,20.4
Shirgaon,0,IN,1588642118,78,19.7,72.7,27.24,5.9
Tamandaré,0,BR,1588642119,80,-8.76,-35.1,25.56,10.5
Deputatsky,99,RU,1588642120,91,69.3,139.9,-8.29,4.6
Hunterville,100,NZ,1588642120,88,-39.93,175.57,12.22,9.6
Trørød,0,DK,1588642121,76,55.84,12.54,6.11,3.2
Tūkrah,0,LY,1588642121,65,32.53,20.58,16.45,20.0
Nagai,75,JP,1588642122,63,38.1,140.03,21.67,9.4
Bacolod City,100,PH,1588642122,68,10.67,122.95,30.34,5.7
Ferrol,75,ES,1588642123,77,43.48,-8.24,15.0,13.0
Qasigiannguit,93,GL,1588642124,67,68.82,-51.19,-6.0,14.8
Hope,0,US,1588642018,58,33.67,-93.59,28.89,1.6
Dali,27,CN,1588642125,39,25.7,100.18,17.33,8.5
Cradock,0,ZA,1588642125,58,-32.16,25.62,11.09,2.9
Carrickfergus,0,GB,1588642126,81,54.72,-5.81,9.0,22.3
‘Ewa Beach,20,US,1588642127,45,21.32,-158.01,29.0,24.1
Bismarck,90,US,1588642127,87,46.81,-100.78,8.0,11.2
Måløy,100,NO,1588642128,69,61.94,5.11,4.0,9.4
Majene,17,ID,1588642129,74,-3.54,118.97,28.87,12.1
Selfoss,100,IS,1588642129,89,63.93,-21.0,5.56,12.9
Rovaniemi,44,FI,1588642130,80,66.5,25.72,2.0,7.6
Nevel'sk,75,RU,1588642130,75,46.67,141.86,5.0,14.4
Loíza,40,PR,1588642131,78,18.43,-65.88,27.0,7.6
Avera,1,US,1588642132,73,33.19,-82.53,24.0,5.4
Ribnitz-Damgarten,20,DE,1588642132,80,54.25,12.47,4.0,9.4
Camacha,20,PT,1588642133,77,33.08,-16.33,18.0,11.2
Birobidzhan,92,RU,1588642133,43,48.8,132.95,10.75,12.0
Vila Franca do Campo,20,PT,1588642134,82,37.72,-25.43,16.0,33.5
Kiama,75,AU,1588642135,59,-34.68,150.87,18.89,5.4
Magdagachi,0,RU,1588642135,35,53.45,125.8,9.76,7.4
Laas,40,IT,1588642136,81,46.62,10.7,8.0,5.4
Burns Lake,100,CA,1588642136,26,54.23,-125.75,13.47,15.6
San Pedro de Macorís,40,DO,1588642138,69,18.46,-69.3,28.0,7.6
Panguna,59,PG,1588642138,55,-6.32,155.48,28.06,5.9
Lahān,0,NP,1588642139,41,26.73,86.5,28.86,8.9
Lumphat,40,KH,1588642139,61,13.49,106.98,30.86,6.5
Presidencia Roque Sáenz Peña,93,AR,1588642140,65,-26.79,-60.44,21.63,6.1
Mount Isa,0,AU,1588642141,19,-20.73,139.5,24.0,22.3
Bagn,0,NO,1588642141,71,60.82,9.55,1.11,5.9
Belyy Yar,46,RU,1588642142,45,53.6,91.39,7.0,32.4
Korla,100,CN,1588642142,27,41.76,86.15,21.47,11.4
Hamilton,1,US,1588641520,59,39.18,-84.53,16.67,9.4
Longyearbyen,75,SJ,1588641939,79,78.22,15.64,-4.0,22.3
Saurimo,0,AO,1588642146,63,-9.66,20.39,18.84,5.1
Serra Talhada,5,BR,1588642146,80,-7.99,-38.3,21.58,14.4
Batagay-Alyta,62,RU,1588642147,85,67.8,130.41,-5.26,6.1
Inuvik,20,CA,1588642148,44,68.35,-133.72,3.0,16.6
Carauari,100,BR,1588641957,96,-4.88,-66.9,23.57,3.0
Takoradze,49,GH,1588642149,86,4.88,-1.76,26.99,8.1
Lazarev,100,RU,1588642149,93,52.23,141.51,0.02,36.6
Santa Rosa,20,PH,1588642150,63,14.31,121.11,33.0,13.0
Yurty,100,RU,1588642150,58,56.05,97.63,9.49,26.1
Kontagora,100,NG,1588642151,67,10.4,5.47,26.18,10.3
Talcahuano,90,CL,1588642152,100,-36.72,-73.12,14.0,9.4
Matai,20,TZ,1588642152,93,-8.3,31.52,14.0,7.6
Mauá,75,BR,1588642135,77,-23.67,-46.46,17.0,7.6
Buala,28,SB,1588641904,65,-8.14,159.59,30.36,9.1
Tougan,0,BF,1588642154,29,13.07,-3.07,33.13,17.7
Wamba,99,NG,1588642155,71,8.93,8.6,25.64,0.1
Altagracia de Orituco,91,VE,1588642155,68,9.86,-66.38,24.7,10.5
Antofagasta,75,CL,1588642034,82,-23.65,-70.4,16.0,11.2
Vacaria,95,BR,1588642156,68,-28.51,-50.93,16.11,9.5
Lluta,100,PE,1588642157,22,-16.01,-72.01,11.55,1.6
Palmer,75,US,1588642158,53,42.16,-72.33,10.56,24.1
Vao,100,NC,1588642158,75,-22.67,167.48,22.58,32.1
Imbituba,20,BR,1588642159,77,-28.24,-48.67,20.0,18.4
Rāzole,22,IN,1588642159,82,16.48,81.83,28.82,5.3
Severnyy,54,RU,1588642160,93,50.68,36.55,12.0,10.8
San Juan de Arama,93,CO,1588642161,78,3.35,-73.89,22.44,3.9
Penzance,100,GB,1588641977,93,50.12,-5.54,11.11,63.0
Senador Pompeu,99,BR,1588642162,89,-5.59,-39.37,23.2,9.9
Matara,100,LK,1588642162,87,5.95,80.54,26.81,8.7
Emba,100,KZ,1588642163,50,48.83,58.14,9.71,15.1
Shingū,40,JP,1588642163,65,33.73,135.98,25.0,16.6
Sun Valley,1,US,1588642164,11,39.6,-119.78,22.22,16.6
Angoche,42,MZ,1588642165,74,-16.23,39.91,23.4,12.6
Windsor,20,CA,1588641935,70,42.3,-83.02,10.0,16.6
Balakhninskiy,51,RU,1588642166,60,58.01,114.28,7.21,5.6
Bundaberg,22,AU,1588642167,50,-24.85,152.35,24.0,25.9
Quatre Cocos,20,MU,1588642168,83,-20.21,57.76,23.0,9.4
Half Moon Bay,1,US,1588641892,58,37.46,-122.43,24.0,27.7
Carhuamayo,100,PE,1588642170,28,-10.92,-76.03,1.77,6.7
Aljezur,0,PT,1588642171,96,37.32,-8.8,17.22,6.4
Shenjiamen,98,CN,1588642172,87,29.96,122.3,20.1,21.9
Piaçabuçu,7,BR,1588642173,83,-10.41,-36.43,25.35,10.7
Wakkanai,75,JP,1588642173,81,45.41,141.67,6.0,31.3
Paamiut,100,GL,1588642174,96,61.99,-49.67,-0.11,20.8
Preston,0,GB,1588642100,84,53.77,-2.72,6.67,4.8
Mapimí,75,MX,1588642178,13,25.82,-103.85,36.0,5.4
Eyl,100,SO,1588642179,72,7.98,49.82,28.4,4.3
Lakes Entrance,0,AU,1588642180,69,-37.88,147.98,15.56,1.6
Beringovskiy,0,RU,1588642181,91,63.05,179.32,-1.41,14.0
Tshane,0,BW,1588642182,20,-24.02,21.87,16.61,13.4
Adiaké,20,CI,1588642182,100,5.29,-3.3,27.0,5.9
Atambua,100,ID,1588642183,59,-9.11,124.89,27.28,7.3
Mehrān,100,IR,1588642184,29,33.12,46.16,19.0,11.2
Bermejo,100,AR,1588642185,72,-32.88,-68.8,17.0,5.4
Fairbanks,75,US,1588642053,30,64.84,-147.72,15.56,9.4
Fort Nelson,90,CA,1588642187,86,58.81,-122.7,3.0,7.6
Malayal,20,PH,1588642188,84,7.21,121.94,30.0,11.2
Esterhazy,100,CA,1588642188,66,50.65,-102.08,7.03,9.7
Manosque,96,FR,1588642189,83,43.83,5.79,12.78,4.0
Asekeyevo,61,RU,1588642190,59,53.57,52.8,10.67,10.6
Sompeta,35,IN,1588642191,80,18.93,84.6,28.31,19.9
Tokmak,57,UA,1588642192,86,47.25,35.71,12.86,9.8
Dhidhdhoo,100,MV,1588642192,80,6.88,73.1,29.84,22.2
Puerto Madero,40,MX,1588642193,79,14.72,-92.42,30.0,11.2
Doha,0,QA,1588642158,60,25.29,51.53,24.44,7.2
Lindi,75,TZ,1588642195,94,-10.0,39.72,24.0,18.4
Khovd,57,MN,1588642195,22,48.01,91.64,12.84,12.8
Yungay,100,PE,1588642196,29,-9.14,-77.74,14.55,12.2
Burgeo,89,CA,1588642196,75,47.62,-57.62,3.7,14.4
Bloomington,90,US,1588642197,41,44.84,-93.3,14.44,13.0
Ranong,20,TH,1588642198,89,9.97,98.63,29.0,3.6
Zyryanka,100,RU,1588642198,96,65.75,150.85,-2.42,8.3
Jalu,0,LY,1588642199,76,29.03,21.55,17.03,18.9
Teya,100,RU,1588642199,84,60.38,92.63,3.06,15.2
Daund,0,IN,1588642201,43,18.47,74.6,26.43,11.7
San Cristobal,100,VE,1588642201,68,7.77,-72.22,19.87,4.8
Bereda,41,ES,1588642202,90,43.27,-7.54,16.67,3.2
Sitia,23,GR,1588642203,55,35.2,26.1,17.22,29.0
Shinshiro,83,JP,1588642205,65,34.9,137.5,27.22,11.3
Nuuk,2,GL,1588642206,79,64.18,-51.72,-3.0,9.4
Manokwari,100,ID,1588642188,68,-0.87,134.08,28.16,3.4
Winchester,100,GB,1588641912,75,51.07,-1.32,8.89,27.7
Sørland,100,NO,1588642208,73,67.67,12.69,3.98,37.5
San Patricio,75,MX,1588642212,83,19.22,-104.7,25.0,9.4
Vanimo,91,PG,1588642212,65,-2.67,141.3,30.65,17.2
Ystad,0,SE,1588642213,80,55.43,13.82,2.22,11.2
Pran Buri,20,TH,1588642214,59,12.38,99.91,32.0,3.6
Turan,20,VN,1588641981,79,16.07,108.22,29.0,5.4
Kismayo,93,SO,1588642216,86,-0.36,42.55,26.87,14.3
Lincoln,99,US,1588641917,87,40.8,-96.67,12.22,3.2
Sitka,40,US,1588642218,43,57.05,-135.33,13.0,14.8
Seoul,1,KR,1588642061,63,37.57,126.98,19.0,6.1
Distrikt Brokopondo,100,SR,1588642219,88,4.75,-55.17,25.45,18.2
Narsaq,100,GL,1588642220,64,60.92,-46.05,4.0,3.6
La Tijera,73,MX,1588642221,47,19.9,-104.4,18.31,4.1
Kaduqli,79,SD,1588642222,46,11.02,29.72,26.56,6.8
Amparafaravola,74,MG,1588642222,73,-17.58,48.22,17.02,8.1
Tahe,17,CN,1588642224,28,52.33,124.73,13.15,8.9
Buluang,88,PH,1588642225,52,13.31,123.34,33.97,1.3
Kulhudhuffushi,100,MV,1588642225,79,6.62,73.07,29.8,22.2
Guerrero Negro,0,MX,1588642226,78,27.98,-114.06,18.51,28.8
Simao,3,CN,1588642227,35,22.79,100.97,26.12,8.5
Vaitape,0,PF,1588642227,73,-16.52,-151.75,28.53,13.8
Goderich,50,CA,1588642228,81,43.75,-81.72,6.67,6.4
Weatherford,0,US,1588642140,53,32.76,-97.8,30.56,9.6
Ponta Delgada,20,PT,1588642230,82,37.73,-25.67,16.0,33.5
Marolambo,23,MG,1588642232,82,-20.05,48.12,18.03,3.1
Waingapu,100,ID,1588642232,71,-9.66,120.26,28.81,22.1
Margate,89,GB,1588642233,60,51.38,1.39,10.0,11.3
Havre-St-Pierre,75,CA,1588642234,74,50.23,-63.6,3.0,9.4
Ughelli,83,NG,1588642235,92,5.49,6.01,25.43,3.3
Liancheng,0,CN,1588642236,33,24.05,105.08,27.67,21.1
Trairi,100,BR,1588642236,88,-3.28,-39.27,24.7,16.2
Harper,92,LR,1588642237,82,4.38,-7.72,26.53,3.6
Ust-Maya,91,RU,1588642238,67,60.42,134.53,4.36,5.7
